product_name,inventory_value
FASTAC (NEW)FAST ACTION PAIN RELIEF 15'TAB ,36043.81
MUPICIP CREAM 15GM ,35841.6
ACEMIZ MR  10'T ,35314.08
GLOWLOOK CREAM 15GM ,34975.0
TROYPOD 200 MG TAB 10'T ,34972.9
AZIVISTA 250MG TAB 6'T ,33835.0
CIPMOX 250 MG CAP 15'C ,33805.94
BILACIP TAB 10'T ,33745.0
MILLENNIUM STUD 5000 SPRAY 20GM ,33258.24
DOXY L CAP ALUMINIUM 10'C ,32898.54
CEFIX 200 MG TAB 10'T ,32246.3
GENMOX CV 625 MG TAB 10'T ,31979.0
ALMOX CV 625 (10S) ,31588.0
MONTECIP LC TAB 10'T ,31573.760000000002
LABMOX 250MG CAP 10'C ,31209.27
ONECLAV 625MG (10 GOLI TAB) ,30586.0
PREDILAB 5 TAB 15'T ,30455.45
OMNIGEL 10GM OINT ,29781.83
ALMOX 500 (15S) CAP ,29622.0
CASTOR NF 15GM ,29010.15
COBATE GM 30GM OINT ,28711.0
INTACOXIA MR TAB 10'T ,28459.6
ACEMIZ S TAB 10'T ,28455.04
C ONE SB 1.5GM INJ ,28317.27
SAFEXIM 200 MG TAB 10'T ,27979.2
VEMOX 500 MG CAP ,27757.989999999998
NICCEF TAB 10T ,27435.75
ULTRABRITE CREAM 15GM ,27141.5
LUPAMIK INJ 500MG ,26880.48
RZOLE DSR CAP 10'C ,26608.92
ULTRABRITE CREAM 25GM ,26000.550000000003
KAYLITE CREAM 15GM ,25930.690000000002
FUL AID GOLD CAP 10'C ,25865.09
CHYMOTAS FORTE TAB 20'T ,25522.989999999998
ALMOX 250DT TAB 15'T ,25345.5
ORASORE ULCER GEL 12GM ,25284.1
SCAR LITE CREAM 15GM ,25256.86
CIPZEN D TAB 10'T ,25152.21
RANPREGA CARD ,25142.0
ESOMIFOR DSR CAP 10'C ,25021.06
EVINAL 400MG CAP 10'C ,25014.5
MONORIN 150 MG TAB 30'T ,24978.0
AZINTAS 500 TAB 3'T ,24970.0
DEMISONE TAB 30X10 ,24688.85
MONTIKAST LC 15 GOLI TAB ,24538.8
ORS 21GM ORANGE (CIPLA) ,24167.879999999997
LIPVAS 40 MG 10'T ,24124.63
AMIJECT 500 INJ 2ML ,24029.0
DUOBES 625 TABLET 10'T ,23981.22
ROXYLADE TAB 10'T ,23578.3
CIPLADINE CREAM 10GM ,23513.79
OFLOCIN 200 YELLOW BLISTER ,23440.760000000002
CEFROTUX 500MG TAB 10'T ,23210.0
PARA 500 TAB ,23116.5
AMLIP AT TAB 10'T ,23115.69
POWERFLAM MR TAB 10'T ,22912.5
ALKOF COLD N FLU TAB 10'T ,22702.34
CLEARWAX EAR DROP 10ML ,22508.16
OD CAP 30*20 ,22474.28
ITROMED 200 CAP 10'C ,22466.8
ALKEMOX - CV 625MG 10'T ,22419.0
PARACIP 650MG TAB 10'T ,22370.02
MOKCAN 250DT TAB ,22260.0
BEATON TAB(DANISH) 10'T ,22228.8
ORAFAST CREAM 15GM ,22206.25
AKNIRED 3D CREAM 20GM ,22167.4
CIPCAL XT TAB 15'T ,22162.1
REACTIN 100 SR TAB 15'T ,21835.8
ALMOX 250 (15S) CAPSULE ,21808.25
SAFEPODOX 200MG TAB (ALU/ALU) 10'T ,21641.85
NIMUCET GOLD TAB ,21634.440000000002
NORFLOKEM TZ TAB 10'T ,21408.5
REBEZ DSR CAP 10'C ,21381.18
DP GESIC TAB OVAL 10'T ,21320.0
TETNIS INJ( ABHAY TOX 0.5ML) ,21272.0
MILLENNIUM STUD 10000 SPRAY 20GM ,21024.0
OMEE CAP 20MG 20'C ,20914.75
SPASMFREE TAB 10'T ,20671.260000000002
DOXYLAB CAP 10'C ,20550.4
PARACIP 500 BLUE 10'T ,20421.52
DICLOWIN PLUS TAB 10'T ,20369.91
MAHANAC MR TAB 10'T ,20279.41
CIPRODAC 250 MG TAB ,20097.0
OMNIGEL OINT 20GM ,20074.32
ROSUBEST GOLD 10MG CAP 10C ,19890.5
COLDFRESH TOTAL NF TAB ,19749.99
OMNIGEL 30GM OINT ,19715.09
CALCIQUICK K2 TAB 10'T ,19642.1
LIPVAS 20MG TAB 10'T ,19585.9
HAIRFUL TAB 15'T ,19453.16
ORS ORANGE (CIPLA) 200ML ,19052.21
SUHAGRA 100MG TAB 4'T ,18646.8
ACEFILE SP TAB 10'T ,18638.1
CEFX O 200MG (MEDLEY) ,18603.0
ORS ORANGE (RANBAXY) 200ML ,18478.5
CIP TZ TAB ,18431.050000000003
SPASMONIL TAB 10'T (34),18318.980000000003
CEFROTUX CV TAB 10'T ,18316.77
OMECIP 20 CAP 15'C ,18306.05
REBOZEN DSR CAP 10'C ,18260.0
VILDADER MET 500MG TAB 15T ,18208.47
VIGROMEN BULLET TAB 10'T ,18083.91
DICLONAC PLUS TAB (WHITE) ,17830.85
MOVEXX SP TAB 10'T ,17778.03
ELOSONE HT CREAM 15GM ,17580.6
NICOFLOX 200 MG TAB 10'T ,17513.05
ZIMTROY O TAB 10'T ,17460.0
ORS APPLE (CIPLA) 200ML ,17411.07
RANISH 150MG TAB 10'T ,17406.1
LUPICEFF O 200DT 10'T ,17319.5
OMEE D CAP 20'C ,17274.75
C ONE 1GM INJ ,17274.17
LABCHLOR 250MG CAPS 10'C ,17028.940000000002
MIGRAFEN TAB 10'T ,17020.0
MECOFOL PLUS D3  10'T ,16933.75
CHESTON COLD SYP 60ML ,16913.7
DOLOFAB SP TAB ,16678.23
ETHAMCIP 250 TAB 10'T ,16650.0
PREGAHEM NTM TAB 10'T ,16613.3
AMISULIDE 200 TAB 10'T ,16566.0
PENTAB 40MG 15'T ,16246.85
ALCECOST SP TAB 10'T ,16024.8
ESOTREAT DSR CAP ,15808.07
ENDURA MASS WEIGHT GAINER CHOCO 500GM ,15744.77
TONODERM 5 CREAM 15GM ,15637.3
LYCOBERI SYP 200ML ,15550.69
AZIVISTA 500 MG TAB 3'T ,15503.5
CIPMOX 500MG CAP ORANGE 15'C ,15494.92
AMLIP 10MG TAB 10'T ,15473.84
VIBEL MULTIVITAMIN  SYRUP 200ML ,15457.1
NICOTEX 4 TIN PACK 30'T ,15445.09
OPTINEURON FORTE INJECTION ,15271.26
CYPROHEPTADINE TAB 10'T ,15264.64
VIGROMEN TAB BLUE (36*4) ,15171.38
DICLOLAB PLUS TAB WHITE 10'T ,15166.98
RABEFRESH DSR CAP,15138.43
FEROZ 300MG TAB 6'T ,15052.5
COLDTREAT PRO TAB ,15036.71
CIPLADINE CREAM 20GM ,15021.92
CIPLADINE POWDER 10GM ,14764.77
KT5 DERM 15GM ,14759.460000000001
TROFLOX OZ TAB 10'T ,14754.15
RICH DAY CAL K27 TAB 10'T ,14700.0
NEULAB ACTIVE GOLD ,14535.14
VEECEE Z TAB 10'T ,14492.55
HISTAC 150 TAB ,14365.95
WELTIVE 4G CAP 10'C ,14350.380000000001
MELACARE GLOW FACE WASH 100ML ,14125.140000000001
UDIVIN 300 TAB 15'T ,14112.0
MOXI D DROP 10ML ,14032.09
DICLOSPIN MR TAB 10'T ,13984.529999999999
CIPZOX TAB 6'T ,13979.720000000001
NICOTEX 4MG(MINT PLUS) 9S ,13918.17
KETOMAC SHAMPOO 110ML ,13898.42
MAGENTA 20ML INJ ,13817.0
NICOGYL TZ TAB 10'T ,13748.400000000001
TOREX JUNIOR SYP 60ML ,13718.67
RIFACLEAN 400 TAB 10'T ,13662.0
MAHANAC S TAB 10'T ,13602.75
DENTOSYS TOOTHPASTE 100GM ,13596.92
CLOBET GM RC CREAM ,13576.26
CEFOGEN CV TAB 10'T ,13566.0
TILLASMI OIL 100ml ,13550.0
CIPCAL D3 CAP 4'C ,13492.58
MECODILA D3  10'T ,13490.0
VITAMIN E CAP (LUPIN) ,13422.5
ALKACETRAL SYP 100ML ,13405.0
FESTIVE EYE DROP 10ML ,13359.3
MOXI EYE DROP 10ML ,13248.210000000001
TRIMZOLE DS TAB 10'T ,13037.0
MAHAGESIC SP TAB 10'T ,13036.52
MAHANAC P TAB 10'T ,12957.5
CEFOGEN 500 TAB 10'T ,12892.5
AZILUP 250 MG TAB 6'T ,12872.78
FASTAC ADVANCE PAIN RELIFE TAB 15'T ,12871.43
ROSUBEST GOLD 20MG CAP 10C ,12864.0
MONTAS FX TAB 10'T ,12843.75
C TRI T 500MG TAB 10'T ,12840.1
OMEZOL CAP 20'C ,12823.82
ELOSONE HT CREAM 25GM ,12794.6
VIGROMEN TAB BLUE 10'T ,12790.17
LULIFRESH LOTION ,12754.8
OFRAMAX FORTE INJ 1.5GM ,12750.35
LIVOLUP 300 TAB 15'T ,12710.31
DERMIFORD CREAM 15GM ,12700.8
PROTITAS CHOC POWDER 220GM ,12667.0
PLAYGARD MORE PLAY (COMBO) 10'S ,12641.48
VILDAWICK MET 500 TAB 15'T ,12634.33
VIGORE SPRAY 15GM ,12444.4
TOREX  SYP 100ml ,12439.220000000001
NORLUT N TAB 10'T ,12438.0
GEMSOLINE CAP 15'C ,12427.0
CENPRIM SS TAB 10 T ,12408.0
VEMOX 250MG CAP 10'C ,12372.87
ORASORE TAB 10'T ,12356.04
AMOXYVON-625 TAB 6'T ,12309.07
ITRATEK T TAB 10'T ,12293.75
KENATROY 40MG INJ 1ML ,12285.9
FCN 150 MG TAB 2'T ,12261.32
FASTRIL SP TAB 10T ,12250.0
FESTIVE D E/E DROP 10ML ,12208.49
AMLIP 2.5MG TAB 10'T ,12170.57
AZY 500MG TAB 6*5*5'T ,12166.0
LUPIMOX 250 CAP 10C ,12089.51
RABENESS DSR CAP 10'C' ,12021.15
LULITEC 10GM (CIPLA) ,11946.689999999999
MOVEXX MR TAB ,11904.0
CELCAL XT TAB (BLISTER) 15'T ,11892.56
CEFIX O  TAB 10'T ,11875.94
KETOCIP CT SOAP 75GM ,11834.02
MULTIPREX SOFT GEL CAP 1'C ,11811.56
ACECLODUS SP TAB 10'T ,11800.0
GLYCERIN BHANDARI 50ML ,11777.91
URINOL 200 TAB 15'T ,11765.25
LUPISULIDE P AMBER TAB 10'T ,11763.640000000001
LIPVAS 10 MG TAB 10'T ,11635.39
TROFLOCIN 200MG ALU-ALUTAB ,11625.0
PANTOLUP DSR CAP 10C ,11595.0
NICOSIP 2MG TAB 10'T ,11535.0
LULITEC 20GM (CIPLA) ,11521.769999999999
ACEMIZ PLUS  10'T ,11515.3
RIFACLEAN 550 TAB 10'T ,11484.0
DSP TAB 10'T ,11462.64
LHIST MONT TAB 15'T ,11454.0
EASYLAX L SYRUP 200ML ,11451.24
ALERTRIZ 5MG TAB 10'T ,11427.8
LEVEHEM 500 TAB 10'T ,11391.220000000001
LUPIMOX 500 CAPS ,11387.64
L QUIN 500 MG TAB 10'T ,11380.72
RONEMOX 500 (ORANGE) 10'C ,11365.7
CALCIQUICK D3 60 K CAP 4'C ,11346.08
RONEMOX 250DT TAB ,11335.36
OMETEK D CAP ,11325.75
KETOCIP 2% SHAMPOO 100ML ,11310.35
REXCOF DX  SYRUP 60ML ,11268.72
PREVENT N TAB 10'T ,11191.009999999998
AQUA EAR DROP ,11151.58
ONVIN 4 MD TAB 10'T ,11129.15
DERMA RX NF CREAM 20GM ,11126.14
PLAYGARD MORE PLAY (ULTRA THIN) 3'S ,11081.140000000001
OMNIGEL OINT 75GM ,11044.720000000001
CEFABLAST 500MG  10'T ,10958.6
CLINSOL ANTI ACNE FACE WASH 70GM ,10924.37
MONTAS L TAB 10'T ,10882.3
MEGAMENTIN 625 TAB 10'T ,10864.63
ORS APPLE (RANBAXY) 200ML ,10807.699999999999
VIGORE 100MG TAB 4'T ,10795.8
CASTOR NF BADI 25GM CREAM ,10761.6
FOOT AND CALF MASSAGER ,10714.29
DERMINA FACEWASH 60GM ,10700.0
MECOFOL PLUS ING,10639.0
SUMO SPRAY 55GM ,10635.0
GLONIM P TAB 10'T ,10633.07
DYDROTUF 10MG TAB ,10557.5
MUPICIP CREAM 5GM ,10542.55
REXIGUT 200 MG TAB 10'T ,10493.720000000001
OMNIGEL SPRAY 35GM ,10475.1
ALFAKIM 500 MG INJ ,10465.01
IBUWAY TAB 20'T ,10431.619999999999
MEDILICE LICE FORMULA 30GM ,10428.92
PODOXIM 100 SYRUP 30ML ,10407.74
SITAWICK MET TRIO TAB 10'T ,10389.61
DOLOFRESH BLISTER TAB 10'T ,10335.650000000001
NICIP COLD & FLU TAB 10'T ,10332.0
NORPEX TZ TAB 60'T ,10331.96
MONOCAN 200 (GENRX) ,10331.84
FLOXIP 250MG TAB ,10294.5
KETOFORD CREAM 15GM ,10289.94
PODOXIM OF TAB 10'T ,10257.0
ITROMED SB 130 TAB 10'T ,10202.3
ORS ORANGE 4.2GM (CIPLA) ,10198.43
CIPCOZ 500 TAB 10'T ,10151.7
PANTOSEC LS CAP 10'C ,10112.15
KETOKEM SHAMPOO 110ML ,10102.0
DOLOFAB ALU ALU TAB ,10076.66
AZIKEM 500 MG TAB 3'T ,10061.5
HEMO FORTE SYP 300ML ,10051.3
SITAWICK MET 500 TAB 15'T ,10041.46
AZILUP 500  3'T ,10007.5
LEEFORD (H) AMAZON CARD 9000 ,10000.0
TELKONOL 40 MG TAB 10'T ,9948.3
KETOFORD DT TAB 10'T ,9909.73
ATTACK TAB 10'T ,9870.72
PANOTROY DSR CAP 10'C ,9754.5
ZEFWAY 200DT  10'T ,9749.8
SENSOBEX KF  50GM ,9734.5
KUFFDRYL SYP 100ML ,9685.57
MEFIWAY TAB ,9680.79
REXIGUT 550 MG TAB 10'T ,9666.65
DERMINA 50 SPF SUNSCREEN 50GM ,9665.0
WELTIV Q10 PLUS CAP 10'C ,9662.87
RABETROY DSR CAP 10'C ,9621.0
TROYFENAC SP TAB 10'T ,9600.0
REACTIN 100 SR 10'T ,9587.65
ITRATEK 100MG CAP 10'C ,9552.0
TELMIGEN 40 MG TAB 10'T ,9539.0
CODIFRESH LC SYP 100ML ,9533.94
KETOFRESH SHAMPOO ,9522.220000000001
OXYSUPER 250MG  10'C ,9501.74
MUSLI PLUS AUSTRO CAP 10X10 ,9466.8
BETANIK TAB 10'T ,9444.19
ACESQUARE TAB ,9435.66
DAPAWICK 10 TAB 10'T ,9427.58
FASTRAN MR TAB 10T ,9395.980000000001
GLYCEROL SYRUP 200ML ,9363.0
NFLOX TZ 10'T' ,9349.2
SUMO SPRAY 35GM (14),9337.0
NIMUTAL PLUS (G) TAB ,9328.0
VIGROMEN BLUE 10x10 ,9299.18
AMIJECT 250MG INJ 2ML ,9265.4
ETOLYTE MR  10'T ,9247.0
CLINSKIN CREAM 15GM ,9215.45
IBULAB TABLET  10'T ,9151.51
ACEFEN- PLUS  ALU-ALU TAB 10'T ,9141.21
TROYPOD CV 325 10'T ,9130.0
QTAX DT 200MG 10'T ,9108.0
MEDISALIC OINT 20GM ,9090.0
LEVODIL 500 TAB ,9058.54
KAYSLIDE PLUS TAB (GOLD) 10'T ,9055.05
DOLOFRESH COLD ,9052.48
METRO IV (ZEE) 100ML ,8993.5
PHENSEDYL DX SYP 100ML ,8991.18
ZERODUO P TAB ,8968.27
DERMINA TINTED SUNSCREEN SPF-50 ,8947.0
CEFLOX EYE DROP 10ML ,8924.07
WAYFENAC MR TAB ,8911.08
ITRADILA 100MG 10'C ,8899.8
ORALYTE LIQUID (APPLE)200ML ,8885.32
KUFF-Q DX TAB 10'T ,8835.2
CEROXITUM CV TAB 10'T ,8798.6
OKAMET 500 MG TAB 20'T ,8796.26
KETOCIP SOAP 75GM ,8787.32
PREGLINE TEST KIT ,8762.19
AZIKEM 250 MG TAB 6'T (27),8721.0
VILDAWICK MET 1000 TAB 15'T ,8713.39
FOLITAS TAB 30'T ,8702.4
AMICET TAB 10'T ,8701.099999999999
SMARTWAY ON CELLO OPALWARE DESSERT ,8652.44
FEROFER TAB 6T ,8650.0
OMEFOL D CAP ,8627.56
OPTIBEX TEAR DROP 10ML ,8620.4
EARWEL EAR DROP 5ML ,8610.8
CODIFRESH DX SYP 100ML ,8603.7
MECOFOL OD TAB 10'T ,8558.64
TELTAN MT50/40 TAB 10'T ,8552.0
AUSTRO MULTIVITAMIN (BHATA) SYRUP 200ML (26),8507.34
OXYNUT 40MG CAP 15'C ,8506.11
GLOBEX GM CREAM 10GM ,8476.24
VALU NUT DHA POWDER 200GM ,8473.68
ACCECLOWOC SP TAB 10'T ,8470.0
CHYMONET AP TAB 10'T ,8410.16
XINOCLAV 625MG TAB ,8393.0
LONG DRIVE SPRAY 20GM ,8371.18
MINOXYTOP 10 % SOLUTION 60ML ,8333.5
LEEKUF TAB 10'T ,8327.15
CEFFOREN 500MG 10'T ,8314.0
HEMO FORTE 450ML SYRUP ,8288.0
GLYCERIN BHANDARI 400ML ,8287.5
DERMA KT NEO  CREAM 15GM ,8277.49
VIGROMEN BLUE 12x4'T ,8257.25
TOOTH BRUSH COLGATE SUPER FLEXI 11+2 ,8253.09
CITIHEM PLUS TAB 10'T ,8221.26
TRANTAS MF  TAB 10'T ,8220.0
ITRADILA 200 MG 10'C ,8215.0
FOURDERM CREAM 10GM ,8197.2
SUMO SPRAY 75GM ,8196.5
SKINSHINE SUNSCREEN LOTION 50SPF ,8188.0
MINOLAST FX TAB 10'T ,8187.5
NARI JIWAN SYP 400ML ,8170.0
CIFTOX 100 DS 30ML WITH WATER ,8096.24
WINOFIT GOLD CAP 15'C ,8067.75
DOLO 500 TAB  15'T ,8045.599999999999
KETOKEM SOAP 75GM ,8034.0
SHAGUN OIL BOTTLE ,7987.08
RASPAR 150 TAB ,7977.0599999999995
PANTIMO DSR CAP 15'C ,7926.93
NOVOBIOTIC CAPS 10'C ,7913.25
RABALKEM LS CAP 10'C ,7910.0
APP UP PLUS SYP 200ML ,7906.8
OFRAMAX INJ 1GM ,7846.8
NAPROWEL FORTE  10'T ,7837.5
RIFAFORD 550 TAB ,7837.42
NIMFRESH COLD TAB 10'T ,7826.66
CEFITAXE 200DT TAB 10'T ,7826.0
ALDIGESIC TH TAB 10'T ,7821.5599999999995
NEDOLIDE P TAB ,7818.76
RABESEC LS CAP 10'C ,7816.55
OLIGRO OIL 100ML ,7800.0
GLIMP MP2 TAB 10'T ,7793.5
CLINCITOP GEL 20GM ,7679.2
ZATURA TAB  500MG 3'T ,7668.03
ITRACIP 200MG CAP 10'C ,7639.04
CLOPICARD TAB 15'T ,7638.12
PARALUP 650 TAB 15'T ,7636.0
URSOLID 300MG TAB 10'T ,7614.3
ANGLOKOLD TOTAL TAB 10'T ,7612.0
ALBD TAB BLISTER  6Tab ,7599.45
DIKART 5 AF LOTION 25ML ,7597.0
PARACIP 250 MG SYP 60ML ,7595.47
NEURODAN FORTE TAB 30'T ,7592.55
ZYNAC 3ML INJ ,7559.05
ROXIKAA 150MG TAB ,7550.5
TILLASMI OIL 50ml ,7548.0
COLDTROY TAB 10'T ,7520.56
MAXIMIZIN 625 TAB ,7498.0
EVOXIL HP KIT 1'T ,7481.07
PREGAMONTH HCG CARD ,7477.390000000001
MACHINE GUN 200 TAB 4'T ,7476.650000000001
KETOCIP 1% SHAMPOO 100ML ,7471.23
BACIPEN 500MG CAP 10'C ,7449.75
HEM NARI SYRUP ,7448.0
AUSTRO SHILAJEET MALT 400GM ,7438.2
SLIM TRIM ACTIVE 120 MG 10'C ,7434.0
MONTAS L SYRUP 60ML ,7342.5
VONOVIA 20MG TAB 15'T ,7339.82
CENITRA OC CREAM 15GM ,7334.4
QUARD DERM 15GM ,7327.93
FEROZ 200 TAB 6'T ,7314.65
TRIOZONE SUNSCREEN 50SPF ,7310.0
MEGACLAV DS SYP ,7310.0
CREMAZEN PLUS SYP 225ML ,7301.5
TOREX SUGARFEE SYP 100ML ,7298.0
ETHERTEK SUPRA INJ 2ML ,7277.25
ERYTHROMYCIN 500 MG TAB ,7252.5
CEFPOD-50-D/S WITH WATER 30ML ,7248.83
KOLD CARE DS SYP 60ML ,7245.84
CEFIX 100 MG TAB 10'T ,7242.45
PILOGO H CREAM 30GM ,7238.2
KETODILA SHAMPOO ,7224.24
DEFLAWAL TAB 10'T ,7197.12
RBC RED GOLD CAP 15'C ,7176.5
CPDX 200 MG TAB ,7155.0
CADCAL JOINT ROSE TAB 10'T ,7140.0
VALSACUBE-200  - 7TAB ,7140.0
ZEEGOLD WOMEN S/G CAP 15'C ,7118.55
KETOSCORE 6 CREAM 15GM ,7101.4
OMNIGEL SPRAY 75GM ,7090.58
MOXABERT 500MG CAP YELLOW 10'C ,7078.5
DICLOKEM PLUS TAB 10'T ,7069.5
CLINSOL SOAP 75GM ,7050.0
FUNTIME DS GOLD  4'TAB ,7040.799999999999
DOLOFAB BLISTER TAB 10'T ,7033.13
SCRABIC LOTION 50ML ,7030.8
DOXIRICH LB CAP 10C ,7029.5
CALCIDOC D3 6L INJECTION 1ML ,7028.29
CRONODOL TAB ,7022.94
AMIZ 500MG INJ 2ML ,7010.0
DEFLAGEN TAB 10'T ,7007.4
TELVILITE AM 40 TAB ,7007.1900000000005
SUMO GEL 30GM' ,7000.0
LULITEC 30GM (CIPLA) ,6988.139999999999
CRITICOLD ADVANCE TAB 10'T ,6987.879999999999
FARO XT TAB 10'T ,6969.0
ITRADUS 200MG TAB 10'T ,6901.0
CEFFOREN CV 10'T ,6900.0
EVOXIL 250MG CAPS 10'C ,6878.74
FERRORANGE SYRUP 200ML ,6837.3
CRITICOLD PLUS TAB 10'T ,6799.76
STICKOBAND  100's (RED) ,6781.0
SMARTVITA E 400 CAP ,6779.780000000001
NICOTEX 4MG (MINT PLUS) 12'T ,6761.679999999999
TICAVUE 90 TAB 14'T ,6748.080000000001
BREATHBLISS SOF CAP ,6716.26
WAYFENAC GEL 30GM ,6697.709999999999
ATORBEST 20 MG TAB 10'T ,6674.85
LACTOMED SOL 200ML ,6672.72
CETRIZOLE TAB 10'T ,6672.34
LEEFORD (H) AMAZON CARD 6000 ,6670.0
CLOCIP POWDER 100GM ,6655.74
CALCIQUICK SUPER 15'T ,6649.2
